neologisme,BSC-LTsalamandra-7b,catallama-CataLlama-v0.1-Base,facebook-xglm-7.5B,catallama-CataLlama-v0.2-Base,gplsi/Aitana-6.3B,BSC-LT/ALIA-40b
quinto,erroni_1,erroni_2,erroni_1,erroni_2,erroni_1,erroni_1
fangoterÃ pia,neologisme,neologisme,distractor,neologisme,neologisme,neologisme
velcro,distractor,neologisme,distractor,neologisme,neologisme,neologisme
mutar,neologisme,distractor,erroni_1,distractor,neologisme,neologisme
prepagament,neologisme,distractor,neologisme,distractor,neologisme,neologisme
perinatal,neologisme,neologisme,neologisme,distractor,neologisme,neologisme
homoparentals,neologisme,erroni_1,distractor,neologisme,neologisme,neologisme
postediciÃ³,distractor,erroni_1,distractor,erroni_1,neologisme,distractor
ruralitat,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
festius,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
expats,distractor,neologisme,distractor,neologisme,neologisme,distractor
backstage,neologisme,distractor,distractor,distractor,neologisme,neologisme
software,distractor,distractor,distractor,distractor,distractor,distractor
mainstream,neologisme,distractor,distractor,distractor,neologisme,distractor
gamers,erroni_1,erroni_1,erroni_1,erroni_1,neologisme,neologisme
queer,neologisme,neologisme,distractor,neologisme,erroni_1,neologisme
boomers,distractor,distractor,distractor,distractor,distractor,distractor
target,erroni_1,erroni_1,neologisme,erroni_1,erroni_1,erroni_1
streaming,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
background,distractor,distractor,distractor,neologisme,neologisme,neologisme
