neologisme,BSC/LTsalamandra-7b,catallama-CataLlama-v0.1-Base,facebook-xglm-7.5B,catallama-CataLlama-v0.2-Base,gplsi/Aitana-6.3B,BSC-LT/ALIA-40b
quinto,distractor,distractor,distractor,distractor,erroni_1,distractor
fangoteràpia,distractor,distractor,distractor,distractor,distractor,distractor
velcro,distractor,distractor,distractor,neologisme,neologisme,neologisme
mutar,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
prepagament,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
perinatal,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
homoparentals,neologisme,erroni_1,neologisme,neologisme,neologisme,neologisme
postedició,distractor,distractor,distractor,distractor,neologisme,neologisme
ruralitat,neologisme,neologisme,neologisme,neologisme,neologisme,distractor
festius,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
expats,erroni_2,erroni_2,distractor,erroni_2,erroni_2,erroni_2
backstage,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
software,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
mainstream,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
gamers,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
queer,distractor,erroni_1,erroni_1,erroni_1,erroni_1,distractor
boomers,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
target,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
streaming,distractor,neologisme,neologisme,neologisme,neologisme,neologisme
background,neologisme,neologisme,neologisme,neologisme,neologisme,neologisme
